文件名,完整路径,所在目录,文件大小(B),文件大小(可读),修改时间
压水堆核电厂用碳钢和低合金钢  第19部分：主蒸汽及主给水系统安全壳机械贯穿件用P280GH锻件.pdf,/data2/统计包含关键词的文件/final/压水堆核电厂用碳钢和低合金钢  第19部分：主蒸汽及主给水系统安全壳机械贯穿件用P280GH锻件.pdf,/data2/统计包含关键词的文件/final,1867029,1.78 MB,2025-02-17 18:55:19
GYY-EC-2023-#3G-上-01+3号机励磁系统检修报告.pdf,/data2/统计包含关键词的文件/final/GYY-EC-2023-#3G-上-01+3号机励磁系统检修报告.pdf,/data2/统计包含关键词的文件/final,1625689,1.55 MB,2023-08-29 00:00:00
GB 20952-2020 加油站大气污染物排放标准（发布稿）.pdf,/data2/统计包含关键词的文件/final/GB 20952-2020 加油站大气污染物排放标准（发布稿）.pdf,/data2/统计包含关键词的文件/final,2240190,2.14 MB,2025-03-04 10:48:11
1号机检修资料汇总版.pdf,/data2/统计包含关键词的文件/final/1号机检修资料汇总版.pdf,/data2/统计包含关键词的文件/final,3583673,3.42 MB,2024-02-28 10:39:18
GB 21344-2015_合成氨单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final/GB 21344-2015_合成氨单位产品能源消耗限额.pdf,/data2/统计包含关键词的文件/final,440123,429.81 KB,2024-05-30 09:07:04
GJNYZ-3-226-附件1 国家能源投资集团有限责任公司火电热工技术监督实施细则.pdf,/data2/统计包含关键词的文件/final/GJNYZ-3-226-附件1 国家能源投资集团有限责任公司火电热工技术监督实施细则.pdf,/data2/统计包含关键词的文件/final,637993,623.04 KB,2025-04-10 18:10:53
应用于核电厂的一级概率安全评价  第2部分：低功率和停堆工况内部事件.pdf,/data2/统计包含关键词的文件/final/应用于核电厂的一级概率安全评价  第2部分：低功率和停堆工况内部事件.pdf,/data2/统计包含关键词的文件/final,10937288,10.43 MB,2025-02-17 18:44:16
联合动力1.5MW风电机组故障处理手册.pdf,/data2/统计包含关键词的文件/final/联合动力1.5MW风电机组故障处理手册.pdf,/data2/统计包含关键词的文件/final,4546804,4.34 MB,2025-08-19 15:06:12
GB_T 11813-2008_压水堆燃料棒氦质谱检漏.pdf,/data2/统计包含关键词的文件/final/GB_T 11813-2008_压水堆燃料棒氦质谱检漏.pdf,/data2/统计包含关键词的文件/final,1492521,1.42 MB,2024-05-28 14:15:52
全国造价工程师-建设工程技术与计量(安装).pdf,/data2/统计包含关键词的文件/final/全国造价工程师-建设工程技术与计量(安装).pdf,/data2/统计包含关键词的文件/final,2065257,1.97 MB,2025-03-13 14:15:50
【教材】2024安全生产技术基础-C.pdf,/data2/统计包含关键词的文件/final/【教材】2024安全生产技术基础-C.pdf,/data2/统计包含关键词的文件/final,26340963,25.12 MB,2025-03-13 14:03:42
GB+29437-2012.pdf,/data2/统计包含关键词的文件/final/GB+29437-2012.pdf,/data2/统计包含关键词的文件/final,381138,372.21 KB,2025-02-11 18:58:39
《四川省新能源产业链建圈强链工作方案（2025—2027年）》.pdf,/data2/统计包含关键词的文件/final/《四川省新能源产业链建圈强链工作方案（2025—2027年）》.pdf,/data2/统计包含关键词的文件/final,341963,333.95 KB,2025-09-03 12:20:34
联合动力UP82-1500风电机组现场调试作业指导书.pdf,/data2/统计包含关键词的文件/final/联合动力UP82-1500风电机组现场调试作业指导书.pdf,/data2/统计包含关键词的文件/final,5625124,5.36 MB,2025-08-19 15:10:46
核动力厂、研究堆、核燃料循环设施安全许可程序规定.docx,/data2/统计包含关键词的文件/final/核动力厂、研究堆、核燃料循环设施安全许可程序规定.docx,/data2/统计包含关键词的文件/final,19868,19.40 KB,2025-11-17 09:15:44
GB+16999-2010.pdf,/data2/统计包含关键词的文件/final/GB+16999-2010.pdf,/data2/统计包含关键词的文件/final,568352,555.03 KB,2025-02-11 18:45:23
DL／T 1051—2019 电力技术监督导则.pdf,/data2/统计包含关键词的文件/final/DL／T 1051—2019 电力技术监督导则.pdf,/data2/统计包含关键词的文件/final,343357,335.31 KB,2025-05-14 11:17:56
2021年4号机C修日志（2021年03月31日）-机械班.docx,/data2/统计包含关键词的文件/final/2021年4号机C修日志（2021年03月31日）-机械班.docx,/data2/统计包含关键词的文件/final,59967,58.56 KB,2021-03-31 17:17:38
GE77-1500-安全手册.pdf,/data2/统计包含关键词的文件/final/GE77-1500-安全手册.pdf,/data2/统计包含关键词的文件/final,8922253,8.51 MB,2025-08-19 15:06:16
主变冷却供水系统机械设备检修作业指导书.docx,/data2/统计包含关键词的文件/final/主变冷却供水系统机械设备检修作业指导书.docx,/data2/统计包含关键词的文件/final,68464,66.86 KB,2024-02-22 10:04:28
QCDT-GYYHPC 1098-2022.ZY01 中压压缩空气控制系统检修作业指导书.docx,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1098-2022.ZY01 中压压缩空气控制系统检修作业指导书.docx,/data2/统计包含关键词的文件/final,84947,82.96 KB,2025-01-02 15:38:02
TCCSAS 012-2022 化工企业工艺报警管理实施指南.pdf,/data2/统计包含关键词的文件/final/TCCSAS 012-2022 化工企业工艺报警管理实施指南.pdf,/data2/统计包含关键词的文件/final,310657,303.38 KB,2025-03-03 10:50:12
【2023.03.18】-法律法规-课堂精华笔记.pdf,/data2/统计包含关键词的文件/final/【2023.03.18】-法律法规-课堂精华笔记.pdf,/data2/统计包含关键词的文件/final,914227,892.80 KB,2025-03-17 15:00:10
歌美飒G5X-850-FT000107-IT R1(机组简介).pdf,/data2/统计包含关键词的文件/final/歌美飒G5X-850-FT000107-IT R1(机组简介).pdf,/data2/统计包含关键词的文件/final,317332,309.89 KB,2025-08-19 15:06:14
联合动力UP82-1500-南高齿齿轮箱使用维护说明书.pdf,/data2/统计包含关键词的文件/final/联合动力UP82-1500-南高齿齿轮箱使用维护说明书.pdf,/data2/统计包含关键词的文件/final,1145391,1.09 MB,2025-08-19 15:10:44
GB_T 17680.4-1999_核电厂应急计划与准备准则场外应急计划与执行程序.pdf,/data2/统计包含关键词的文件/final/GB_T 17680.4-1999_核电厂应急计划与准备准则场外应急计划与执行程序.pdf,/data2/统计包含关键词的文件/final,2099350,2.00 MB,2024-05-28 14:18:04
公共场所卫生管理条例实施细则.docx,/data2/统计包含关键词的文件/final/公共场所卫生管理条例实施细则.docx,/data2/统计包含关键词的文件/final,20646,20.16 KB,2025-11-17 09:16:47
GBT 50093-2002 自动化仪表工程施工及验收规范.pdf,/data2/统计包含关键词的文件/final/GBT 50093-2002 自动化仪表工程施工及验收规范.pdf,/data2/统计包含关键词的文件/final,2480915,2.37 MB,2025-02-18 09:54:32
QCDT-GYYHPC 1059-2022 发电机保护装置检修规程.pdf,/data2/统计包含关键词的文件/final/QCDT-GYYHPC 1059-2022 发电机保护装置检修规程.pdf,/data2/统计包含关键词的文件/final,391827,382.64 KB,2022-11-15 19:18:40
应用于核电厂的一级概率安全评价  第5部分：功率运行地震.pdf,/data2/统计包含关键词的文件/final/应用于核电厂的一级概率安全评价  第5部分：功率运行地震.pdf,/data2/统计包含关键词的文件/final,7578342,7.23 MB,2025-02-17 18:20:06
DL 479-1992 静态距离保护装置技术条件.pdf,/data2/统计包含关键词的文件/final/DL 479-1992 静态距离保护装置技术条件.pdf,/data2/统计包含关键词的文件/final,330805,323.05 KB,2025-02-21 10:34:43
GB 23864-2023 防火封堵材料.pdf,/data2/统计包含关键词的文件/final/GB 23864-2023 防火封堵材料.pdf,/data2/统计包含关键词的文件/final,1578340,1.51 MB,2025-03-04 10:48:42
民用核安全设备设计制造安装和无损检验监督管理规定（HAF601）.docx,/data2/统计包含关键词的文件/final/民用核安全设备设计制造安装和无损检验监督管理规定（HAF601）.docx,/data2/统计包含关键词的文件/final,21108,20.61 KB,2025-11-17 09:15:47
GBT 16507.3-2022 水管锅炉 第3部分：结构设计.pdf,/data2/统计包含关键词的文件/final/GBT 16507.3-2022 水管锅炉 第3部分：结构设计.pdf,/data2/统计包含关键词的文件/final,1809182,1.73 MB,2025-03-04 11:49:39
初步设计内容及深度规定（龙源工[2021]78-79号）风电工程初步设计内容及深度规定-第二卷升压站部分.pdf,/data2/统计包含关键词的文件/final/初步设计内容及深度规定（龙源工[2021]78-79号）风电工程初步设计内容及深度规定-第二卷升压站部分.pdf,/data2/统计包含关键词的文件/final,949759,927.50 KB,2025-08-19 15:04:42
附件2：中国大唐集团有限公司火力发电机组检修作业指导文件编制规范(QCDT 1011003-2022).docx,/data2/统计包含关键词的文件/final/附件2：中国大唐集团有限公司火力发电机组检修作业指导文件编制规范(QCDT 1011003-2022).docx,/data2/统计包含关键词的文件/final,100683,98.32 KB,2022-04-19 13:37:38
5号发电机电气一次有限空间作业三措两案(1).docx,/data2/统计包含关键词的文件/final/5号发电机电气一次有限空间作业三措两案(1).docx,/data2/统计包含关键词的文件/final,112117,109.49 KB,2022-10-14 15:44:10
歌美飒2.0MW-GD006260-ZH R6.pdf,/data2/统计包含关键词的文件/final/歌美飒2.0MW-GD006260-ZH R6.pdf,/data2/统计包含关键词的文件/final,1080859,1.03 MB,2025-08-19 15:04:18
中国安全生产大数据平台-知识库642.pdf,/data2/统计包含关键词的文件/final/中国安全生产大数据平台-知识库642.pdf,/data2/统计包含关键词的文件/final,1762825,1.68 MB,2025-03-10 14:17:31
