file_name,source_path,file_size_mb,matched_by,matched_keyword
(04)JUMO--902940温度显示变送器.PDF,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/二次说明书/1-3号水轮发电机辅控/主机自动化元件说明书/(04)JUMO--902940温度显示变送器.PDF,0.428,filename,变送器
001.2022年真题解析.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/001.2022年真题解析.pdf,0.550,pdf_content,仪表+控制
001.安全生产相关法律（一）.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/001.安全生产相关法律（一）.pdf,0.329,pdf_content,核设施
002.安全生产单行法律（二）.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/002.安全生产单行法律（二）.pdf,0.555,pdf_content,核设施
004.安全生产单行法律（四）.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/004.安全生产单行法律（四）.pdf,0.484,pdf_content,核设施
009.危险化学品输送管道安全管理规定、危险化学品重大危险源监督管理暂行规定、工贸企业有限空间作业安全管理与监督暂行规定.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/009.危险化学品输送管道安全管理规定、危险化学品重大危险源监督管理暂行规定、工贸企业有限空间作业安全管理与监督暂行规定.pdf,0.245,pdf_content,仪表+控制
009.施工招标投标与合同管理（二）.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/009.施工招标投标与合同管理（二）.pdf,0.165,pdf_content,核工程
01-1国家能源集团火电企业技术监督检查评分标准.pdf,/data1/无监督数据/未清洗数据/火电大模型标准/水泵标准/集团标准/01-1国家能源集团火电企业技术监督检查评分标准.pdf,1.333,pdf_content,仪表+控制
01.二建-水利-超押B卷-无答案版.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/01.二建-水利-超押B卷-无答案版.pdf,0.739,pdf_content,核工程
03 ZFL-D250 调速器机柜说明书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/机械说明书/调速器有关说明书/03 ZFL-D250 调速器机柜说明书.docx,0.343,docx_content,变送器
03.第四章【打印版】.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/03.第四章【打印版】.pdf,3.997,pdf_content,核设施
04.二建-水利-超押B卷-有答案版.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/04.二建-水利-超押B卷-有答案版.pdf,0.851,pdf_content,核工程
04.第四章【观看版】.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/04.第四章【观看版】.pdf,0.416,pdf_content,核设施
04071.pdf,/data1/无监督数据/未清洗数据/光伏产品参数/晶科能源/产品参数/04071.pdf,5.514,pdf_content,探测器
06 用户说明书-250主配.PDF,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/二次说明书/调速/06 用户说明书-250主配.PDF,0.602,pdf_content,电磁阀
06 用户说明书-250主配.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/机械说明书/调速器有关说明书/06 用户说明书-250主配.pdf,0.602,pdf_content,电磁阀
06、第1章 （6）水工建筑材料.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/06、第1章 （6）水工建筑材料.pdf,0.438,pdf_content,仪表+控制
07.第三章和第四章随堂测试题目+答案及解析.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/07.第三章和第四章随堂测试题目+答案及解析.pdf,0.309,pdf_content,核设施
09.第六章【观看版】.pdf,/data1/无监督数据/未清洗数据/安全场景案例等散数据/培训资料/09.第六章【观看版】.pdf,8.031,pdf_content,仪表+控制
0PG.412.922-2断路器安装使用说明书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电技术手册/机械说明书/GIS安装使用说明书/0PG.412.922-2断路器安装使用说明书.pdf,0.747,pdf_content,主控室
0灯泡贯流式机组垂直支撑A级检修作业指导书.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/3.灯泡贯流式机组检修作业指导书/机械/0灯泡贯流式机组垂直支撑A级检修作业指导书.docx,0.135,docx_content,仪表+控制
